reach_id,n_rch_up,calc_n_up,n_rch_down,calc_n_dn,type_desc
71181901353,2,2,2,1,Lake
71181901496,1,0,1,1,Ghost
71185700143,1,1,2,1,Lake
71185700176,1,0,1,1,Ghost
71212000813,1,1,2,1,Lake
71212001186,1,0,1,1,Ghost
71216000083,2,2,2,1,Lake
71216000356,1,0,1,1,Ghost
71224200036,1,0,1,1,Ghost
71224300023,1,1,2,1,Lake
72408300133,2,2,2,1,Lake
72408300406,1,0,1,1,Ghost
72545000113,2,2,2,1,Lake
72545000736,1,0,1,1,Ghost
73270900155,1,1,2,1,Unreliable
73281000066,1,0,1,1,Ghost
73281000086,1,0,1,1,Ghost
73281000135,1,1,2,1,Unreliable
73283000223,1,1,2,1,Lake
73283000291,1,1,2,1,River
73283000366,1,0,1,1,Ghost
73283000416,1,0,1,1,Ghost
74262300481,1,1,2,1,River
74262300956,1,0,1,1,Ghost
77121000133,1,1,2,1,Lake
77121000176,1,0,1,1,Ghost
82213000075,1,1,2,1,Unreliable
82213000116,1,0,1,1,Ghost
83185000213,2,2,2,1,Lake
83185000223,1,1,2,1,Lake
83185001366,1,0,1,1,Ghost
83185001386,1,0,1,1,Ghost
