up_reach,dn_reach,region,up_boundary_node,dn_boundary_node,up_boundary_dist_out,dn_boundary_dist_out,boundary_gap
56360400073,56360400063,OC,56360400070013,56360400060263,3536070.7601705296,345727.9816558263,3190342.7785147033
56470000031,56470000231,OC,56470000030011,56470000230541,2814439.8003493184,21469.385185004838,2792970.4151643137
56470000011,56470000051,OC,56470000010011,56470000050451,2796137.186409602,118598.06833586899,2677539.118073733
28107000031,28107000231,EU,28107000030011,28107000230051,1713097.728402019,309126.3516820007,1403971.3767200182
45651000211,45642100181,AS,45651000210011,45642100180051,1402602.870690114,108273.78283194691,1294329.0878581672
45642100011,45641000071,AS,45642100010011,45641000070011,1216997.2031731296,88475.51190989076,1128521.691263239
56861000121,56861000251,OC,56861000120011,56861000250581,736722.3405738061,38228.26381804285,698494.0767557633
16270700111,16270700141,AF,16270700110011,16270700140271,688187.3922006045,141254.7072224677,546932.6849781368
62297300291,62297300281,SA,62297300290011,62297300280971,3254982.6210788046,2783932.9298476353,471049.6912311693
43306700023,43306701023,AS,43306700020013,43306701020583,589628.2819793611,176215.28600609596,413412.99597326515
43421000481,43421001411,AS,43421000480011,43421001410031,483979.72194581846,72793.71484474845,411186.00710107
62294101341,62294101331,SA,62294101340011,62294101330551,3051745.3897450594,2648192.333468031,403553.0562770283
23250600711,23250601421,EU,23250600710011,23250601420551,565017.4064770666,182697.6707187472,382319.7357583194
23250800011,23250600211,EU,23250800010011,23250600210461,606818.8282058382,227639.488936317,379179.3392695212
23250600661,23250601411,EU,23250600660011,23250601410941,553656.3648094821,179229.7356458766,374426.6291636055
43421001421,43421001321,AS,43421001420011,43421001320601,520895.99660824076,154994.25607985945,365901.7405283813
31231000221,31210900071,AS,31231000220011,31210900070881,380045.1817001087,17851.675116866667,362193.50658324204
45342000331,45342000301,AS,45342000330011,45342000300681,838609.6721560458,491871.8927547452,346737.7794013006
43421000471,43421001471,AS,43421000470011,43421001470191,483399.45216427627,167873.4142228963,315526.03794137994
23250600601,23250600591,EU,23250600600011,23250600590251,506994.9242735902,197760.62702801236,309234.29724557785
74221000011,74221000045,NA,74221000010011,74221000040515,541826.7286512329,255709.37688101133,286117.3517702216
62295800041,62295800031,SA,62295800040011,62295800030661,2760001.542578185,2492348.737917215,267652.8046609699
62294100201,62294100191,SA,62294100200011,62294100190961,2691439.405684996,2427126.789761942,264312.61592305405
62294102441,62294102411,SA,62294102440011,62294102410871,2636793.3735532593,2373472.561882071,263320.8116711881
35126000691,35126000681,AS,35126000690011,35126000680751,1342795.0274263716,1086792.970249423,256002.05717694853
43421001561,43421001164,AS,43421001560011,43421001160034,454822.418011624,201330.5016312494,253491.9163803746
62294100241,62294102461,SA,62294100240011,62294102460621,2731756.5001852694,2501524.3530937894,230232.14709147997
74210000331,74300400575,NA,74210000330011,74300400570575,390612.7152035014,166095.31582103742,224517.39938246398
23261001614,23261000611,EU,23261001610014,23261000610191,280548.98884961696,57942.480215214164,222606.5086344028
23261000621,23261000611,EU,23261000620011,23261000610191,280522.95804470667,57942.480215214164,222580.4778294925
49160100191,49160100171,AS,49160100190011,49160100170251,376986.83446635655,155276.54522365908,221710.28924269747
